Northern Hemisphere Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
188001,-0.15
188002,-0.31
188003,-0.25
188004,-0.07
188005,-0.03
188006,-0.02
188007,-0.09
188008,-0.11
188009,-0.15
188010,-0.30
188011,-0.43
188012,-0.23
188101,-0.07
188102,-0.07
188103,0.01
188104,0.05
188105,0.00
188106,-0.17
188107,-0.04
188108,-0.02
188109,-0.24
188110,-0.51
188111,-0.51
188112,-0.15
188201,0.15
188202,-0.02
188203,-0.04
188204,-0.32
188205,-0.25
188206,-0.22
188207,-0.20
188208,-0.07
188209,-0.13
188210,-0.45
188211,-0.24
188212,-0.23
188301,-0.58
188302,-0.67
188303,-0.33
188304,-0.37
188305,-0.25
188306,-0.04
188307,-0.12
188308,-0.16
188309,-0.25
188310,-0.33
188311,-0.39
188312,-0.17
188401,-0.25
188402,-0.25
188403,-0.46
188404,-0.38
188405,-0.18
188406,-0.30
188407,-0.45
188408,-0.45
188409,-0.46
188410,-0.42
188411,-0.57
188412,-0.31
188501,-0.70
188502,-0.38
188503,-0.21
188504,-0.29
188505,-0.31
188506,-0.30
188507,-0.22
188508,-0.35
188509,-0.31
188510,-0.24
188511,-0.12
188512,0.12
188601,-0.21
188602,-0.41
188603,-0.39
188604,-0.18
188605,-0.22
188606,-0.23
188607,-0.19
188608,-0.34
188609,-0.37
188610,-0.38
188611,-0.41
188612,-0.06
188701,-0.70
188702,-0.54
188703,-0.17
188704,-0.22
188705,-0.18
188706,-0.26
188707,-0.25
188708,-0.43
188709,-0.20
188710,-0.42
188711,-0.12
188712,-0.08
188801,-0.38
188802,-0.36
188803,-0.34
188804,-0.04
188805,-0.05
188806,0.03
188807,0.00
188808,-0.20
188809,-0.11
188810,0.05
188811,-0.16
188812,0.03
188901,-0.11
188902,0.09
188903,0.18
188904,0.16
188905,-0.04
188906,-0.03
188907,-0.11
188908,-0.10
188909,-0.30
188910,-0.39
188911,-0.54
188912,-0.25
189001,-0.45
